Removed Pin From Net: NetName=PACK+ Pin=C8-2
Removed Pin From Net: NetName=NetC1_2 Pin=C11-2
Removed Pin From Net: NetName=Batt_GND Pin=J7-1
Removed Pin From Net: NetName=PACK+ Pin=J7-5
Removed Pin From Net: NetName=PACK+ Pin=J10-1
Removed Pin From Net: NetName=GND Pin=J10-2
Removed Pin From Net: NetName=GND Pin=J10-S1
Removed Pin From Net: NetName=GND Pin=J10-S2
Removed Pin From Net: NetName=PACK+ Pin=R8-1
Removed Pin From Net: NetName=NetJ7_4 Pin=R9-1
Removed Pin From Net: NetName=NetJ7_3 Pin=R10-1
Removed Pin From Net: NetName=NetJ7_4 Pin=R20-1
Removed Pin From Net: NetName=PACK+ Pin=R20-2
Removed Pin From Net: NetName=NetC2_2 Pin=R21-1
Removed Pin From Net: NetName=NetC3_2 Pin=R22-1
Removed Member From Class: ClassName=Power Member=J10
Removed Member From Class: ClassName=Power Member=R20
Removed Member From Class: ClassName=Power Member=R21
Removed Member From Class: ClassName=Power Member=R22
Change Component Footprint: Designator=J7 Old Footprint=JST SM05B-PASS-TB New Footprint=MOLEX_532610671
Change Component Comment : Designator=J7 Old Comment=SM05B-PASS-TBT(LF)(SN) New Comment=532610671_1
Change component parameters: Designator = "J7" ("J7"); Footprint = "JST SM05B-PASS-TB"; UniqueID = "\UFFJLDKY" ("\UFFJLDKY")
Add component (AddParameter): Name = "Part Number"; Value = "CC1206MRY5V9BB104"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "partid"; Value = "18711"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "price"; Value = "0.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "series"; Value = "CC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.126" L x 0.063" W (3.20mm x 1.60mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-4504-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "Y5V (F)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.028" (0.70mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.1 µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=DNP3(RES 1206_3216)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/yageo/RC1206JR-7W0RL/12698846"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "1206 (3216 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Moisture Resistant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.026" (0.65mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "3/20/2023 7:35:33 PM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "1206 (3216 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RC1206JR-7W0RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "66997"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.5W, 1/2W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "0 Ohms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "RC_L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.122" L x 0.063" W (3.10mm x 1.60mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "13-RC1206JR-7W0RLCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Jumper"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0 Ohms"; VariantName = "[No Variations]"
Added Component: Designator=DNP4(RES 1206_3216)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/yageo/RC1206JR-7W0RL/12698846"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "1206 (3216 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Moisture Resistant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.026" (0.65mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "3/20/2023 7:35:33 PM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "1206 (3216 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RC1206JR-7W0RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "66997"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.5W, 1/2W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "0 Ohms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "RC_L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.122" L x 0.063" W (3.10mm x 1.60mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "13-RC1206JR-7W0RLCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Jumper"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0 Ohms"; VariantName = "[No Variations]"
Added Component: Designator=R13(RES 1206_3216)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.seielect.com/catalog/sei-rncs_rnch.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCS1206BKE1K00/1800333"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thin Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "1206 (3216 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Anti-Corrosive, Automotive AEC-Q200, Moisture Resistant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.026" (0.65mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "3/20/2023 7:37:22 PM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "1206 (3216 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RNCS1206BKE1K00"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "26856"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.125W, 1/8W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.09"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "1 kOhms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "RNCS"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.120" L x 0.061" W (3.05mm x 1.55mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "RNCS1206BKE1K00CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±25ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±0.1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1 kOhms"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetC2_2 Pin=C6-1
Added Pin To Net: NetName=12V Pin=C8-2
Added Pin To Net: NetName=Batt_GND Pin=C11-2
Added Pin To Net: NetName=PACK+ Pin=DNP3-2
Added Pin To Net: NetName=NetC2_2 Pin=DNP4-1
Added Pin To Net: NetName=PACK+ Pin=J7-1
Added Pin To Net: NetName=Batt_GND Pin=J7-6
Added Pin To Net: NetName=GND Pin=J7-S1
Added Pin To Net: NetName=GND Pin=J7-S2
Added Pin To Net: NetName=NetJ7_3 Pin=R9-1
Added Pin To Net: NetName=NetJ7_4 Pin=R10-1
Added Pin To Net: NetName=PACK+ Pin=R13-1
Added Pin To Net: NetName=NetC2_2 Pin=U9-4
Added Pin To Net: NetName=NetC6_2 Pin=C6-2
Added Pin To Net: NetName=NetC6_2 Pin=DNP4-2
Added Pin To Net: NetName=NetC6_2 Pin=R13-2
Added Pin To Net: NetName=NetC6_2 Pin=U9-3
Added Net: Name=NetC6_2
Added Pin To Net: NetName=NetDNP3_1 Pin=DNP3-1
Added Pin To Net: NetName=NetDNP3_1 Pin=J7-2
Added Pin To Net: NetName=NetDNP3_1 Pin=R8-1
Added Net: Name=NetDNP3_1
Added Pin To Net: NetName=NetJ7_5 Pin=J7-5
Added Pin To Net: NetName=NetJ7_5 Pin=R11-1
Added Net: Name=NetJ7_5
Added Member To Class: ClassName=Power Member=Component C6 0.1 µF
Added Member To Class: ClassName=Power Member=Component DNP3 0 Ohms
Added Member To Class: ClassName=Power Member=Component DNP4 0 Ohms
Added Member To Class: ClassName=Power Member=Component R13 1 kOhms
Added Member To Class: ClassName=Power Member=Component U9 BQ7790518PWR
